  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
   28 2014  2       2.80     0.40     0.00  2197.20     3.00 51462.00 51462.00 24100.20  2373.40   201.27   187.43   127.99     0.86    21.00     1.14    28.45     1.14     1.00    79.32    52.94     0.00     4.28     0.49  2203.40 
   28 2020  3       2.40     0.00     0.00  2332.40     2.20 65131.00 65131.00 25051.00  1943.40   202.86   187.27   143.99     0.85    32.80     1.21    30.20     1.21     1.00    82.71    62.73     0.00     3.59     0.46  2337.00 
   29 2007  1       3.00     0.00     0.00  1930.20     4.80 36756.00 36756.00 21338.00  2825.00   199.38   189.81   108.17     0.88    12.40     1.06    26.54     1.06     1.00   100.00    37.44     0.00     5.27     0.55  1938.00 
   29 2014  2       2.80     0.40     0.00  2197.20     3.00 51462.00 51462.00 24100.20  2373.40   201.27   187.43   127.99     0.86    21.00     1.14    28.45     1.14     1.00   100.00    52.94     0.00     4.28     0.49  2203.40 
   29 2020  3       2.40     0.00     0.00  2332.40     2.20 65131.00 65131.00 25051.00  1943.40   202.86   187.27   143.99     0.85    32.80     1.21    30.20     1.21     1.00   100.00    62.73     0.00     3.59     0.46  2337.00 
   30 2007  1       2.60     0.00     0.00  1890.40     1.00 36528.80 36528.80 21319.80  2830.20   199.62   189.72   107.83     0.88    12.00     1.06    26.54     1.06    10.60     2.44    37.30     0.00     5.18     0.55  1894.00 
   30 2014  2       1.40     0.00     0.00  2178.60     2.40 51142.80 51142.80 23942.80  2363.40   201.38   187.34   127.59     0.86    21.00     1.14    28.45     1.14     1.00     5.31    52.74     0.00     4.27     0.49  2182.40 
   30 2020  3       2.80     0.40     0.00  2280.60     2.80 64745.20 64745.20 24991.00  1998.40   203.21   187.19   143.56     0.85    31.80     1.21    30.20     1.21     1.00     8.69    62.48     0.00     3.53     0.46  2286.60 
   31 2007  1       3.40     0.00     0.00  1907.40     5.00 36580.20 36580.20 21259.60  2795.60   199.34   189.78   107.91     0.88    12.60     1.06    26.54     1.06    10.60    26.44    37.34     0.00     5.24     0.55  1915.80 
   31 2014  2       2.60     0.00     0.00  2232.40     3.80 51308.00 51308.00 24094.80  2346.20   201.26   187.39   127.80     0.86    21.20     1.14    28.45     1.14     1.00    29.31    52.84     0.00     4.36     0.49  2238.80 
   31 2020  3       2.40     0.00     0.00  2381.80     2.60 65044.80 65044.80 25166.20  1997.20   202.98   187.25   143.89     0.85    32.00     1.21    30.20     1.21     1.00    32.70    62.68     0.00     3.67     0.46  2386.80 
   32 2007  1       2.60     0.00     0.00  1887.60     3.20 36506.20 36506.20 21295.00  2817.00   199.64   189.49   107.80     0.88    12.20     1.06    26.54     1.06    10.60    51.44    37.29     0.00     5.19     0.55  1893.40 
   32 2014  2       2.60     0.00     0.00  2192.20     0.80 51202.00 51202.00 24013.60  2366.40   201.51   187.14   127.66     0.86    21.00     1.14    28.45     1.14     1.00    54.31    52.78     0.00     4.29     0.49  2195.60 
   32 2020  3       1.80     0.00     0.00  2317.80     2.20 64828.40 64828.40 24993.20  1986.00   203.40   187.17   143.65     0.85    31.80     1.21    30.20     1.21     1.00    57.69    62.54     0.00     3.58     0.46  2321.80 
   33 2007  1       2.60     0.00     0.00  1887.60     3.20 36506.20 36506.20 21295.00  2817.00   199.64   189.49   107.80     0.88    12.20     1.06    26.54     1.06    10.60    76.44    37.29     0.00     5.19     0.55  1893.40 
   33 2014  2       2.60     0.00     0.00  2192.20     0.80 51202.00 51202.00 24013.60  2366.40   201.51   187.14   127.66     0.86    21.00     1.14    28.45     1.14     1.00    79.31    52.78     0.00     4.29     0.49  2195.60 
   33 2020  3       1.80     0.00     0.00  2317.80     2.20 64828.40 64828.40 24993.20  1986.00   203.40   187.17   143.65     0.85    31.80     1.21    30.20     1.21     1.00    82.69    62.54     0.00     3.58     0.46  2321.80 
   34 2007  1       2.60     0.00     0.00  1887.60     3.20 36506.20 36506.20 21295.00  2817.00   199.64   189.49   107.80     0.88    12.20     1.06    26.54     1.06    10.60   100.00    37.29     0.00     5.19     0.55  1893.40 
   34 2014  2       2.60     0.00     0.00  2192.20     0.80 51202.00 51202.00 24013.60  2366.40   201.51   187.14   127.66     0.86    21.00     1.14    28.45     1.14     1.00   100.00    52.78     0.00     4.29     0.49  2195.60 
   34 2020  3       1.80     0.00     0.00  2317.80     2.20 64828.40 64828.40 24993.20  1986.00   203.40   187.17   143.65     0.85    31.80     1.21    30.20     1.21     1.00   100.00    62.54     0.00     3.58     0.46  2321.80 
   35 2007  1       3.20     0.00     0.00  1858.60     1.60 36238.00 36238.00 21207.80  2836.80   199.56   189.81   107.40     0.88    12.00     1.06    26.54     1.06    35.65     2.43    37.13     0.00     5.14     0.55  1863.40 
   35 2014  2       3.20     0.40     0.00  2209.80     1.80 50754.60 50754.60 24078.20  2420.40   201.23   187.31   127.10     0.86    20.20     1.14    28.45     1.14     7.11     5.29    52.49     0.00     4.36     0.49  2215.20 
   35 2020  3       2.40     0.00     0.00  2358.60     1.40 64499.00 64499.00 25097.60  1971.20   203.02   186.91   143.29     0.85    32.00     1.21    30.20     1.21     1.00     8.65    62.33     0.00     3.66     0.46  2362.40 
   36 2007  1       2.40     0.00     0.00  1858.00     4.40 36346.60 36346.60 21303.20  2820.20   199.40   189.85   107.56     0.88    12.00     1.06    26.54     1.06    35.63    26.44    37.19     0.00     5.13     0.55  1864.80 
   36 2014  2       3.00     0.00     0.00  2172.00     2.20 50784.60 50784.60 24017.80  2389.60   201.31   187.15   127.14     0.86    20.60     1.14    28.45     1.14     7.06    29.29    52.51     0.00     4.29     0.49  2177.20 
   36 2020  3       3.00     0.00     0.00  2353.60     3.20 64503.20 64503.20 25054.40  1955.60   203.08   187.05   143.29     0.85    32.20     1.21    30.20     1.21     1.00    32.66    62.33     0.00     3.66     0.46  2359.80 
   37 2007  1       2.80     0.00     0.00  1865.00     3.40 36387.40 36387.40 21275.20  2798.80   199.35   189.86   107.62     0.88    12.40     1.06    26.54     1.06    35.62    51.44    37.22     0.00     5.14     0.55  1871.20 
   37 2014  2       3.20     0.00     0.00  2191.80     2.20 50830.80 50830.80 24044.80  2411.80   201.23   187.30   127.20     0.86    20.60     1.14    28.45     1.14     7.03    54.30    52.54     0.00     4.32     0.49  2197.20 
   37 2020  3       2.40     0.00     0.00  2318.40     1.20 64424.40 64424.40 25051.20  1992.00   203.00   187.26   143.20     0.84    31.40     1.21    30.20     1.21     1.00    57.66    62.28     0.00     3.60     0.47  2322.00 
   38 2007  1       2.80     0.00     0.00  1865.00     3.40 36387.40 36387.40 21275.20  2798.80   199.35   189.86   107.62     0.88    12.40     1.06    26.54     1.06    35.62    76.44    37.22     0.00     5.14     0.55  1871.20 
   38 2014  2       3.20     0.00     0.00  2191.80     2.20 50830.80 50830.80 24044.80  2411.80   201.23   187.30   127.20     0.86    20.60     1.14    28.45     1.14     7.03    79.30    52.54     0.00     4.32     0.49  2197.20 
   38 2020  3       2.40     0.00     0.00  2318.40     1.20 64424.40 64424.40 25051.20  1992.00   203.00   187.26   143.20     0.84    31.40     1.21    30.20     1.21     1.00    82.66    62.28     0.00     3.60     0.47  2322.00 
   39 2007  1       2.80     0.00     0.00  1865.00     3.40 36387.40 36387.40 21275.20  2798.80   199.35   189.86   107.62     0.88    12.40     1.06    26.54     1.06    35.62   100.00    37.22     0.00     5.14     0.55  1871.20 
